epoch,train_loss,val_loss,val_dice,val_iou,val_pixel_acc,val_boundary_f1,val_avg
1,0.678414773195982,0.6024350523948669,0.40691474,0.27738568,0.6974372863769531,0.16683275671600512,0.32855451107025146
2,0.5932339392602444,0.6512552201747894,0.4485948,0.308935,0.6499563217163086,0.17739426144643755,0.3423868417739868
3,0.5736896228045225,0.5776298940181732,0.34944332,0.23595667,0.6975580215454101,0.1503799185241607,0.29933783411979675
4,0.5452451352030039,0.5803083628416061,0.40256646,0.28180385,0.6943035125732422,0.14292445729481565,0.318317711353302
5,0.5282793883234262,0.557510495185852,0.41059515,0.28872764,0.6901754379272461,0.11746320771244936,0.31090593338012695
6,0.5168046895414591,0.5459635257720947,0.369986,0.26270622,0.7055923461914062,0.11745551574984708,0.2978588044643402
7,0.5020355582237244,0.535207986831665,0.39235353,0.2841159,0.7189115524291992,0.09629248097509344,0.30126529932022095
8,0.5037121567875147,0.4964066594839096,0.46467745,0.33485252,0.726686668395996,0.1387675400977996,0.34764987230300903
9,0.5034738704562187,0.49156653881073,0.43546176,0.3116355,0.7369499206542969,0.16132508558283576,0.3462650775909424
10,0.4976298566907644,0.5279132127761841,0.45657125,0.3221232,0.7028095245361328,0.1058253409015801,0.32631903886795044
