epoch,train_loss,val_loss,val_dice,val_iou,val_pixel_acc,val_boundary_f1,val_avg_score,supervised_loss,consistency_loss,consistency_weight
0,0.29507904327832735,0.6633447408676147,0.20162232,0.11386776,0.6629714965820312,0.09846021278387462,0.21200893819332123,0.29507904327832735,0.0,0.0
1,0.2856303725678187,0.6619608402252197,0.19946837,0.11270068,0.6743647257486979,0.09831604938642226,0.21288834512233734,0.23283358491384065,0.05279679195238994,1.0
2,0.28826921662459004,0.6596335768699646,0.19545393,0.11061259,0.6922378540039062,0.09609865693759934,0.21326114237308502,0.2003130683532128,0.0439780752819318,2.0
3,0.25738155669890916,0.6563194990158081,0.1908183,0.108373195,0.7145284016927084,0.09498574236586455,0.21455276012420654,0.20568861411168024,0.017230980886289708,3.0
4,0.2173525351457871,0.6524301171302795,0.1837228,0.10485377,0.7360992431640625,0.0923105655200069,0.21424056589603424,0.19030321561373198,0.006762329954653978,4.0
5,0.20102795915534863,0.6484616994857788,0.17737885,0.101861484,0.7553202311197916,0.0925278907449208,0.21502621471881866,0.1813561641252958,0.003934358909296302,5.0
6,0.17721780733420298,0.6444349884986877,0.1715063,0.09919294,0.7719167073567709,0.09118047402237249,0.21497486531734467,0.15993911715654227,0.0028797817022468033,6.0
7,0.1594166008469004,0.6403474807739258,0.16532473,0.09621102,0.7869338989257812,0.09109800700854835,0.21505266427993774,0.1428284920178927,0.0023697297841023942,7.0
8,0.15358299625894198,0.6363451480865479,0.15569456,0.09065267,0.7989400227864584,0.09095393605105696,0.21327674388885498,0.13815310368171105,0.0019287366079739653,8.0
9,0.14624351205734107,0.6324399709701538,0.14638062,0.08506461,0.8091786702473959,0.09057570140388105,0.21121515333652496,0.1311434507369995,0.0016777844508536733,9.0
