epoch,train_loss,val_loss,val_dice,val_iou,val_pixel_acc,val_boundary_f1,val_avg
1,0.6710951228936514,0.8094772398471832,0.21235794,0.11979262,0.26080322265625,0.06346234406895823,0.14155343174934387
2,0.49841908117135364,0.6743721961975098,0.36888093,0.23065807,0.6288070678710938,0.09096445226617861,0.2690586745738983
3,0.4254455367724101,0.4764765799045563,0.6463494,0.4884984,0.8857345581054688,0.21919704688048103,0.47982603311538696
4,0.36610786616802216,0.4488288015127182,0.6473328,0.48791224,0.886474609375,0.21969522836626282,0.48026496171951294
5,0.32724936803181964,0.3740170896053314,0.71954405,0.5785904,0.9373273849487305,0.31112100047099356,0.5606516003608704
6,0.30528850853443146,0.31760798394680023,0.81457686,0.69327116,0.9575777053833008,0.4160406100880737,0.6523513197898865
7,0.2823888535300891,0.2993626743555069,0.8191308,0.70008504,0.9619359970092773,0.4815073524778144,0.6816930174827576
8,0.267138808965683,0.2771393060684204,0.80429435,0.681106,0.9612588882446289,0.49081550625788145,0.6778098344802856
9,0.2504407539963722,0.24040701985359192,0.84945107,0.75164735,0.9696884155273438,0.5923500392271488,0.7450855374336243
10,0.25050969918568927,0.24322845041751862,0.8601921,0.7640649,0.9715337753295898,0.6383194359495553,0.7689188718795776
11,0.22534767289956412,0.235112763941288,0.8643484,0.7681837,0.9704999923706055,0.6148200595254371,0.7612268924713135
12,0.21164678782224655,0.23706772923469543,0.85030437,0.7457431,0.9681253433227539,0.575648423438739,0.7372028827667236
13,0.20101795345544815,0.21771083772182465,0.8613142,0.7617254,0.969670295715332,0.6156164225415481,0.759370744228363
14,0.19182640810807547,0.20756668597459793,0.86256576,0.7643486,0.9718427658081055,0.6417323699541885,0.7709805369377136
15,0.19549027333656946,0.2142442762851715,0.8263042,0.7132584,0.9650115966796875,0.5945681158879208,0.7318066954612732
16,0.18710191051165262,0.19045081734657288,0.8672284,0.76927185,0.9737367630004883,0.6449343364780102,0.7746956944465637
17,0.1812865063548088,0.18547597527503967,0.866426,0.7700578,0.9712533950805664,0.6572426995561182,0.7792031168937683
18,0.1684588020046552,0.18347696959972382,0.84308565,0.73207223,0.9679775238037109,0.572931003932321,0.7315548658370972
19,0.17028697580099106,0.17534428089857101,0.8533772,0.7527688,0.9709548950195312,0.6219310769334595,0.7583137154579163
20,0.16326233247915903,0.1683749482035637,0.85832894,0.75606364,0.9717931747436523,0.6636062690079042,0.7770063877105713
21,0.16001611202955246,0.1602703481912613,0.86041427,0.7591226,0.9720563888549805,0.6275500206904199,0.7637565732002258
22,0.15576659639676413,0.16895444691181183,0.8588323,0.75593984,0.9714012145996094,0.6108510893192134,0.7559466361999512
23,0.15788755814234415,0.16437534242868423,0.86266136,0.76456976,0.9709234237670898,0.6048303349706887,0.75614994764328
24,0.14459120482206345,0.1515888273715973,0.88993734,0.8063947,0.9768905639648438,0.7048962521163777,0.8122553825378418
25,0.14510821799437204,0.15389949083328247,0.8761521,0.78610444,0.9743175506591797,0.658632000391173,0.7858593463897705
