epoch,train_loss,val_loss,val_dice,val_iou,val_pixel_acc,val_boundary_f1,val_avg
1,0.5709996186196804,0.5753261744976044,0.37003833,0.25509393,0.686676025390625,0.11567937344801499,0.29280152916908264
2,0.46615396067500114,0.6222921311855316,0.40867445,0.28467524,0.6653963088989258,0.12286757313761049,0.3080601394176483
3,0.4077793173491955,0.7055018544197083,0.36627954,0.26695397,0.641691017150879,0.13485904579532546,0.2951579689979553
4,0.38110525719821453,0.48429641127586365,0.39520854,0.2996096,0.7678928375244141,0.13218226218813306,0.32678088545799255
5,0.35655942372977734,0.4969891458749771,0.4160866,0.31799978,0.7406366348266602,0.15012065884088183,0.33876535296440125
6,0.3410103488713503,0.3968890756368637,0.52834415,0.4069518,0.8259592056274414,0.15882805389624058,0.4009014964103699
7,0.3214187901467085,0.603116512298584,0.40776664,0.30898643,0.7670791625976563,0.13411151959021667,0.3324454128742218
8,0.315363259986043,0.4306190311908722,0.41063607,0.3169496,0.7846302032470703,0.13116471517107664,0.33620935678482056
9,0.30176851712167263,0.5113948583602905,0.41504693,0.31693837,0.7631061553955079,0.13180415732361062,0.3343369960784912
10,0.28991407714784145,0.4186813682317734,0.35151875,0.26705658,0.7756629943847656,0.12256725454407413,0.30666735768318176
11,0.28393580112606287,0.41370898485183716,0.43328246,0.34223032,0.8026956558227539,0.16332180166527432,0.36249974370002747
12,0.27287231013178825,0.40154676139354706,0.42933208,0.3369128,0.7959083557128906,0.12646795101031966,0.3446890115737915
13,0.2736744713038206,0.38374553620815277,0.4253943,0.33126122,0.8082235336303711,0.12263781169154361,0.3428894877433777
14,0.2726457342505455,0.37802429497241974,0.424472,0.33131734,0.8168283462524414,0.12875582268016075,0.34640803933143616
15,0.2618017951026559,0.37479178607463837,0.43406504,0.34303963,0.8181781768798828,0.13729075319447864,0.35476720333099365
16,0.27055939473211765,0.38479767739772797,0.43898675,0.3514267,0.8091438293457032,0.15348208860146034,0.36279645562171936
17,0.26479219924658537,0.3937346637248993,0.43126783,0.34142202,0.8102376937866211,0.15717138703070146,0.3605055809020996
18,0.2642033826559782,0.3939850181341171,0.42468274,0.33306986,0.8100608825683594,0.1476499592403777,0.3533537685871124
19,0.2639537760987878,0.4003628045320511,0.4242006,0.33230877,0.8067012786865234,0.14825102956441577,0.3528175354003906
20,0.2559627816081047,0.40222156047821045,0.4304778,0.34084257,0.80438232421875,0.14987520495653997,0.3563953936100006
21,0.25851340498775244,0.4023386836051941,0.43297142,0.34468302,0.8068073272705079,0.14019220975436728,0.35427743196487427
22,0.2559808883816004,0.4039722830057144,0.43233162,0.34460613,0.8052768707275391,0.13819927502630736,0.3530753552913666
23,0.26351918280124664,0.39943376183509827,0.43078768,0.34216088,0.8064701080322265,0.13522480319310148,0.3511895537376404
24,0.2659484753385186,0.40078869462013245,0.4314276,0.34215876,0.8065828323364258,0.13572513725830115,0.3515661358833313
25,0.2532972302287817,0.3997509926557541,0.43057573,0.3418735,0.8078603744506836,0.1381737387587469,0.3524671792984009
