epoch,train_loss,val_loss,val_dice,val_iou
1,0.635378897190094,0.6612348556518555,0.18881365495172756,0.104248606
2,0.6057669520378113,0.6420199871063232,0.11708384625372344,0.062182188
3,0.5337754487991333,0.6033501625061035,0.08424320827507151,0.043973852
4,0.49189114570617676,0.6003175973892212,0.02880513875501555,0.014613034
5,0.49826163053512573,0.5449813008308411,0.008295825610423102,0.00416519
6,0.4756135940551758,0.4827614724636078,0.09518974488544296,0.049973346
7,0.42337387800216675,0.4370709955692291,0.4706746063732217,0.30776617
8,0.44497764110565186,0.4586738646030426,0.4500066746462417,0.29032815
9,0.45538637042045593,0.3403882384300232,0.814216898805962,0.6866491
10,0.41173887252807617,0.382568895816803,0.8884322727425296,0.79926056
1,0.649544358253479,0.6191322207450867,0.16511306748812735,0.089985415
2,0.5581405758857727,0.5808407068252563,0.21052631577943715,0.11764706
3,0.5147396326065063,0.5830649733543396,0.14795775305411918,0.07988897
4,0.5357683300971985,0.4886406660079956,0.23258530072306788,0.13159634
5,0.5348702669143677,0.42974597215652466,0.6693524020208806,0.50302756
6,0.46975159645080566,0.42742037773132324,0.37748901559420917,0.2326573
7,0.4293481707572937,0.4027709364891052,0.8696642003139928,0.7693857
8,0.4479341208934784,0.4417549967765808,0.8727458685236382,0.7742228
9,0.4448924660682678,0.4339187741279602,0.8503083414199835,0.73959684
10,0.3862523138523102,0.4056043028831482,0.8508223932140992,0.74037504
1,0.811331570148468,0.728844165802002,0.23654156769146714,0.13413504
2,0.7847529649734497,0.7092980146408081,0.22317840293064872,0.1256054
3,0.733108401298523,0.7039509415626526,0.2660540746487253,0.15343851
4,0.7140326499938965,0.6922423839569092,0.388547734220781,0.24111651
5,0.6901187896728516,0.6711907386779785,0.3852084972376035,0.23854999
6,0.6625827550888062,0.6510823965072632,0.4826530165707955,0.31809008
7,0.6458954811096191,0.6392955780029297,0.5763245102442148,0.4048145
8,0.6829468011856079,0.6482930183410645,0.3434210179060336,0.20730737
9,0.6354682445526123,0.6419124603271484,0.369447538129207,0.22657813
10,0.5886130332946777,0.6070780158042908,0.5589553078788932,0.387882
1,0.6155721545219421,0.5443276166915894,0.010766355139381954,0.005412313
2,0.6070777177810669,0.5625064969062805,0.07644010971798597,0.03973888
3,0.5624022483825684,0.558456301689148,0.24652831953780993,0.14059441
4,0.5376443862915039,0.5664625763893127,0.19028730094688687,0.105147794
1,0.9582536220550537,0.7457550764083862,0.3820389703774865,0.23612371
2,0.8680600523948669,0.7001307010650635,0.384194248604718,0.23777255
3,0.7736854553222656,0.6854079365730286,0.18745434890035778,0.10342048
4,0.7354445457458496,0.6509565711021423,0.2525984482413776,0.14455661
5,0.67786705493927,0.6386311054229736,0.2625932277644242,0.1511409
6,0.723808765411377,0.6068878173828125,0.5362616310708723,0.3663644
7,0.6348391175270081,0.699657142162323,0.2749964205537394,0.15941788
8,0.6423604488372803,0.6418559551239014,0.4168007238986326,0.26326486
9,0.5883859395980835,0.4982239902019501,0.8339121200575751,0.7151366
10,0.5591574907302856,0.418183296918869,0.8964213218892634,0.81228584
