epoch,train_loss,val_loss,val_dice,val_iou,val_pixel_acc,val_boundary_f1,val_avg
1,0.7394462738718305,0.5974669754505157,0.40400407,0.2776645,0.7831185658772786,0.05320264456496274,0.295282781124115
2,0.662884703704289,0.6102907359600067,0.37195104,0.25388634,0.6950689951578777,0.04047003129411178,0.2642134130001068
3,0.6104513917650495,0.5518366694450378,0.3998349,0.2795507,0.7622677485148113,0.030352965381309285,0.28235021233558655
4,0.5529121628829411,0.5375926494598389,0.49275482,0.37276503,0.791568120320638,0.024408279295948715,0.3262402415275574
5,0.512410398040499,0.5687257051467896,0.47707015,0.3591954,0.7862936655680339,0.018483443204119248,0.31644406914711
6,0.4789086367402758,0.4912312626838684,0.5553215,0.45900303,0.8591814041137695,0.05440975140193818,0.3812721073627472
7,0.47236877254077364,0.46770240366458893,0.5100929,0.41847372,0.8566881815592449,0.07039865291817997,0.3678806722164154
8,0.4459378165858133,0.40170997381210327,0.45231506,0.36309853,0.8884398142496746,0.07114843451257798,0.34742382168769836
9,0.4345736418451582,0.38644708693027496,0.5690865,0.46759373,0.9189694722493489,0.11296723966194298,0.418822705745697
10,0.4037322189126696,0.4673284590244293,0.48561263,0.37847787,0.849108060201009,0.06192588198593663,0.34923529624938965
11,0.39315142376082285,0.3805319368839264,0.6078966,0.5255091,0.9219290415445964,0.14085970894615657,0.45170921087265015
12,0.40311569401196073,0.34792667627334595,0.6055124,0.5202167,0.9319998423258464,0.0981417519061868,0.43447810411453247
13,0.3591741791793278,0.32113009691238403,0.61342645,0.5282886,0.9380162556966145,0.08976065573241848,0.435621052980423
14,0.3594931534358433,0.32914072275161743,0.6319562,0.5500701,0.946324348449707,0.16492472233916333,0.475921630859375
15,0.33428805215018137,0.34426768124103546,0.6121289,0.5314294,0.935236930847168,0.10088874782669033,0.43995916843414307
16,0.3256789445877075,0.32752153277397156,0.6192873,0.535642,0.9386097590128581,0.11626632163112052,0.44924819469451904
17,0.3162102316107069,0.3104681670665741,0.7076483,0.62637484,0.9400949478149414,0.19640259073054783,0.5217623114585876
18,0.32862340552466257,0.26637113094329834,0.86688757,0.7839273,0.953854242960612,0.3735674500000298,0.6660125255584717
